cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"18958","10701","311649","1020591","Pinnacle Bank Sioux City","Sioux City","IA","51106","3/31/2015","5/17/2015","NM","1901 Morningside Avenue","PINNACLE BANCORP, INC.","2","0","0","4","1","Woodbury","43580","Sioux City, IA-NE-SD","1/1/1912","12/2/1963","10/4/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","www.pinnbanksc.com","67920","67920","64659","0","2514","747","0","0","","17353","12694","50567","20880","4835","24852","55226","12447","55473","60809","59126","1311","0","0","0","",""
"22355","0","417710","0","Pinnacle Bank, Inc.","Vanceburg","KY","41179","3/31/2015","5/17/2015","NM","26 Second Street","","3","0","0","4","0","Lewis","","","10/26/1976","10/26/1976","11/18/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","http://www.pinnaclebank.co","36890","36890","27756","0","7400","1734","0","0","","12996","9952","23894","0","6115","17779","26938","9952","26938","34079","32705","1453","1000","1000","1485","",""
"19540","10266","300942","1200665","Pioneer Bank","Sergeant Bluff","IA","51054","3/31/2015","5/17/2015","NM","202 First Street","PIONEER DEVELOPMENT COMPANY","4","0","0","4","1","Woodbury","43580","Sioux City, IA-NE-SD","1/1/1907","1/6/1966","4/8/2015","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","http://www.pioneerbanks.com","125296","125296","112429","0","12867","0","0","0","","60097","34904","65199","14132","12542","38525","90392","34904","90392","119227","100998","5204","0","0","0","",""
"5193","13386","920854","1964668","Pioneer Bank","Mapleton","MN","56065","3/31/2015","5/17/2015","SM","301 Main Street","CITIZENS BANK GROUP, INC.","8","0","0","2","1","Blue Earth","31860","Mankato-North Mankato, MN","1/1/1903","1/1/1934","12/7/2013","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","www.bankwithpioneer.com","327215","327215","255541","0","50375","21299","0","0","","106823","35781","220392","10362","79561","130469","291434","35781","291434","299474","279386","11974","12462","12462","21001","",""
"6913","15369","41629","1076422","Pioneer Bank","Stanley","VA","22851","3/31/2015","5/17/2015","SM","252 East Main Street","PIONEER BANKSHARES, INC.","8","0","0","4","0","Page","","","12/3/1909","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","http://www.pioneerbks.com","143354","143354","137418","83","5616","237","0","0","","71204","42784","72150","6378","18136","47636","100570","42784","100570","135875","128232","3108","6112","6112","9297","",""
"27872","450","606176","0","Pioneer Bank","Roswell","NM","88201","3/31/2015","5/17/2015","SA","3000 North Main Street","","16","0","1","8","1","Chaves","","","2/18/1901","9/15/1936","6/25/2012","Stock","0","1","OCC","DIF","Dallas","DALLAS","Albuquerque","Dallas","Western","West","www.pioneerbnk.com","539946","539946","415422","0","123812","711","0","0","","174177","134520","365768","78313","167644","119811","405425","134520","405426","520327","403996","18392","0","0","0","",""
"10734","13293","508841","2523231","Pioneer Bank","Auburndale","WI","54412","3/31/2015","5/17/2015","NM","5758 Main Street","PB HOLDINGS OF MARSHFIELD, LLC","8","0","0","2","0","Wood","","","1/4/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","www.pioneerbank.net","113380","113380","107543","0","5837","0","0","0","","38889","29642","74491","6426","40935","27130","83738","29673","83707","112285","104374","6116","500","500","0","",""
"15562","0","65559","1143511","Pioneer Bank & Trust","Belle Fourche","SD","57717","3/31/2015","5/17/2015","NM","700 State Street","BELLE FOURCHE BANCSHARES, INC.","7","0","0","4","0","Butte","","","8/30/1937","12/4/1937","3/28/2011","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","www.pioneerbankandtrust.com","549893","549893","469565","0","80226","102","0","0","","39977","26558","509916","380690","27951","101275","523335","102443","447450","529935","397797","10405","0","0","0","",""
"5352","0","176053","1417445","Pioneer Bank of Wisconsin","Ladysmith","WI","54848","3/31/2015","5/17/2015","NM","200 Miner Avenue","PIONEER ACQUISITION CORP.","2","0","0","2","0","Rusk","","","7/23/1920","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","http://www.pioneerbankwis.com","59070","59070","54939","0","4131","0","0","0","","23230","17316","35840","397","17502","17941","41754","17315","41755","58182","55321","4944","0","0","0","",""
"58577","54013","3595637","4505606","Pioneer Bank, SSB","Dripping Springs","TX","78620","3/31/2015","5/17/2015","SB","100 Creek Road","PIONEER BANCSHARES, INC.","6","0","0","4","0","Hays","12420","Austin-Round Rock, TX","5/14/2007","5/14/2007","5/30/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","http://www.pioneerbanktexas.com","346284","346284","303458","0","42826","0","0","0","","107913","58325","238371","94570","7791","136010","287959","55460","290824","322649","284646","7501","301","0","0","",""
"57849","0","3303953","0","Pioneer Commercial Bank","Troy","NY","12180","3/31/2015","5/17/2015","NM","21 Second Street","","1","0","0","7","0","Rensselaer","10580","Albany-Schenectady-Troy, NY","11/8/2004","11/8/2004","9/19/2013","Stock","20741","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","www.pioneersb.com","91436","91436","0","0","91436","0","0","0","","34153","28855","57283","57198","85","0","62581","28855","62581","91436","25896","0","0","0","0","",""
"2448","13788","294827","2356514","Pioneer Community Bank, Inc.","Iaeger","WV","24844","3/31/2015","5/17/2015","NM","5229 Coal Heritage Road","PIONEER COMMUNITY GROUP, INC.","4","0","0","5","0","Mcdowell","","","9/20/1931","1/1/1934","6/18/2012","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","www.pioneercommunitybank.com","101105","101105","99130","0","1975","0","0","0","","40204","34386","60901","0","36409","24492","66719","34386","66719","99057","93632","4398","0","0","0","",""
