cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"70","0","42037","1138870","Peoples Exchange Bank of Monroe County","Monroeville","AL","36460","3/31/2015","5/17/2015","NM","2013 Highway 21 Bypass","PEOPLES EXCHANGE BANCSHARES, INC.","1","0","0","4","0","Monroe","","","8/23/1907","1/1/1934","12/20/2013","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","www.pebmc.com","27","62606","11910","0","9611","0","36772","572","0","1390","160","0","2763","62606","53655","53549","40288","53549","84.2724319480229","0","0","0","0","106","8951","8951","0","5","2000","6946","0","447","0","323","46383","10031","62631.5","62631.5","55578","62934","0","0","0","0","2691","310","0","0","1643","9033","572","1643","0"
"29703","3917","210779","0","Peoples Federal Savings and Loan Association","Sidney","OH","45365","3/31/2015","5/17/2015","SA","101 E Court St","","4","0","0","5","0","Shelby","","","1/1/1886","1/22/1937","11/2/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","PEOPLESFEDERALSandL.COM","32","112469","19922","18513","8998","0","79546","1081","0","1390","55","2","2556","112469","97541","95695","91926","95695","97.6572133168927","0","0","1749","0","97","14928","14928","0","18","9743","5167","0","4545","0","402","107057","58159","112266.5","112266.5","59017","112162","0","0","0","0","0","952","1749","0","4708","14906","742","4708","0"
"29789","4091","602972","0","Peoples Federal Savings Bank of DeKalb County","Auburn","IN","46706","3/31/2015","5/17/2015","SA","212 West Seventh Street","","16","0","1","5","0","De Kalb","","","1/1/1925","5/15/1937","7/21/2011","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","www.peoplesfed.com","123","474850","32284","29085","185443","0","228031","1943","0","5043","346","2483","21220","474850","417555","362473","330484","362473","89.9765357244285","186","0","51497","0","3399","57295","57295","0","10","23685","33600","0","411","0","2068","442559","322479","479825.5","479825.5","243464","475020","13533","6653","0","6880","8133","1122","51497","215","65691","52349","1943","65691","0"
"30688","5752","363778","0","Peoples First Savings Bank","Mason","OH","45040","3/31/2015","5/17/2015","SA","225 Reading Road","","2","0","0","5","0","Warren","17140","Cincinnati, OH-KY-IN","1/1/1909","7/2/1954","1/4/2012","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","www.peoplesfirstohio.com","17","67700","9938","9617","1864","673","51740","312","0","1133","193","13","2146","67700","61059","51995","49216","51995","83.6279016097083","0","0","9000","0","64","6641","6641","0","0","0","6641","0","0","0","190","63894","42608","67486.5","67486.5","37076","68176","1360","1360","0","0","2589","431","9000","0","851","6641","312","851","0"
"27233","0","1188987","1918755","Peoples Independent Bank","Boaz","AL","35957","3/31/2015","5/17/2015","NM","121 Billy B. Dyar Boulevard","PEOPLES INDEPENDENT BANCSHARES, INC.","6","0","0","4","1","Marshall","","","5/2/1988","5/2/1988","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","http://www.pibonline.com","55","194322","15996","4675","77219","4161","86304","882","0","3431","1622","0","5589","194322","174190","173687","145930","173687","86.6424164287688","0","0","0","0","503","20132","20132","0","100","5050","14982","0","450","0","828","172359","71632","190452","190452","126098","192313","4149","0","0","4149","9351","0","0","0","9296","18087","882","9296","0"
"22211","11057","602356","1995103","Peoples National Bank","Colorado Springs","CO","80918","3/31/2015","5/17/2015","N","5175 N. Academy Boulevard","WINTER TRUST OF 12/3/74","7","0","0","5","0","El Paso","17820","Colorado Springs, CO","1/16/1976","1/16/1976","5/31/2013","Stock","0","0","OCC","DIF","Dallas","KANSAS CITY","Denver","Kansas City","Western","Western","http://www.epeoples.com","240","316192","10621","9162","62879","0","215851","1557","5338","10385","1580","3019","6519","316192","284504","244722","177279","244722","85.6464608495269","0","0","33973","0","5809","31688","31688","0","343","22633","8712","0","1687","0","635","293230","111897","316898","316898","176567","308707","0","0","0","0","39489","69","33973","105985","26888","30836","1806","26888","244826"
"26687","12093","483537","1363793","Peoples National Bank","Niceville","FL","32578","3/31/2015","5/17/2015","N","1020 John Sims Parkway","BANKSHARES CORPORATION OF NICEVILLE","3","0","0","8","0","Okaloosa","18880","Crestview-Fort Walton Beach-Destin, FL","6/16/1986","6/16/1986","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Pensacola","Atlanta","Southern","Southeast","www.pnbon.com","40","110223","6879","4934","38559","15660","45812","685","0","724","806","0","1783","110223","99127","98995","77539","98995","83.5476019753785","0","0","0","0","132","11096","11096","0","1079","1319","8698","0","2119","0","360","104965","46052","108582.5","108582.5","49734","108444","0","0","0","0","5733","809","0","0","4535","11501","622","4535","0"
"3809","11689","375043","1250437","Peoples National Bank , N.A.","Mount Vernon","IL","62864","3/31/2015","5/17/2015","N","520 South 42nd Street","MARKET STREET BANCSHARES, INC.","22","0","1","2","1","Jefferson","","","3/1/1909","1/1/1934","10/27/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","http://www.peoplesnationalbank.com","234","970055","16230","301","73107","0","826724","9861","0","25598","2023","0","26373","970055","877317","850122","654094","850122","80.5292060732731","1314","0","24000","0","1881","92738","92738","0","2414","22164","68160","0","5055","483","6556","900132","332481","966588.5","966588.5","880919","963901","14301","14301","0","0","67178","18313","24000","2773","148131","91812","9861","148131","0"
"926","0","823133","1491801","Peoples National Bank of Kewanee","Kewanee","IL","61443","3/31/2015","5/17/2015","N","207 North Tremont Street","PEOPLES FINANCIAL CORP. OF ILLINOIS, INC.","7","0","0","7","0","Henry","19340","Davenport-Moline-Rock Island, IA-IL","3/1/1928","1/1/1934","6/6/2008","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","www.pnb-kewanee.com","69","250543","31813","24492","112102","750","96449","2170","0","1895","972","752","5810","250543","205182","201161","159698","201161","86.2648255712845","0","0","0","0","4021","45361","45361","0","1000","5566","38795","0","2032","0","1950","233793","106151","249957.5","249957.5","165011","247469","0","0","0","0","1150","81","0","0","21811","41528","2064","21811","0"
"30065","4674","654579","0","Peoples Savings and Loan Association of Monticello Indiana","Monticello","IN","47960","3/31/2015","5/17/2015","SA","126 Constitution Plz","","1","0","0","5","0","White","","","1/1/1899","12/16/1939","7/21/2011","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","","6","34457","6911","6837","4970","0","21203","178","0","191","496","0","686","34457","21978","21207","21207","21207","99.8302447305135","0","0","0","0","771","12479","12479","0","0","0","12479","0","903","0","44","33010","3717","34412","34412","14624","34441","0","0","0","0","0","334","0","0","0","12746","178","0","0"
