cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"5556","0","476968","1357112","The First National Bank of Throckmorton","Throckmorton","TX","76483","3/31/2015","5/17/2015","N","210 North Minter","THROCKMORTON BANCSHARES, INC.","1","0","0","2","1","Throckmorton","","","10/28/1901","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","www.fnbthrockmorton.com","17019","140","17159","0","17159","2191","2191","0","56","0","56","0","351","1784","","11922","1422","","769","0","0","293","476","855","0","775","80","0","0","0","","0","0","0","0","140",""
"5557","0","193162","0","The First National Bank of Tom Bean","Tom Bean","TX","75489","3/31/2015","5/17/2015","N","109 S Britton St","","3","0","1","8","1","Grayson","43300","Sherman-Denison, TX","9/22/1906","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","WWW.FNBTB.COM","41091","671","41762","0","41762","19821","19821","1874","1871","1750","121","0","13595","2481","","2805","11179","","7904","0","0","3593","4311","53","0","0","53","0","0","0","","0","0","1874","0","480",""
"5558","12165","419460","2344977","The First National Bank of Trenton","Trenton","TX","75490","3/31/2015","5/17/2015","N","106 Hamilton Square","TRENTON BANKSHARES, INC.","5","0","0","5","0","Fannin","","","1/1/1901","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","http://www.fnbtrenton.com","68763","738","69501","2","69503","65154","65154","9515","6815","5658","1157","0","45235","3589","","497","1429","","1453","0","0","455","998","970","0","919","51","0","0","0","","337","118","2277","7238","833",""
"5559","0","479567","0","The First National Bank of Trinity","Trinity","TX","75862","3/31/2015","5/17/2015","N","105 South Robb Street","","2","0","0","7","1","Trinity","","","9/11/1911","1/1/1934","6/2/2010","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","http://www.fnbtrinity.com","19319","236","19555","0","19555","11114","11114","822","5101","3064","2037","0","4793","398","","404","1528","","6441","0","0","2766","3675","68","0","68","0","0","0","0","","0","0","421","401","236",""
"5076","11326","292850","1128321","The First National Bank of Wakefield","Wakefield","MI","49968","3/31/2015","5/17/2015","N","401 Sunday Lake Street","WAKEFIELD BANCORPORATION, INC.","2","0","0","8","1","Gogebic","","","1/1/1910","1/1/1934","4/22/2013","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Appleton","Minneapolis","Central","Central","http://www.fnbwakefieldmi.com","19917","328","20245","0","20245","14921","14921","0","4730","0","4730","829","9362","0","","0","1313","","3924","0","0","2764","1160","87","0","87","0","0","0","0","","317","220","0","0","283",""
"5269","0","805755","1126318","The First National Bank of Walker","Walker","MN","56484","3/31/2015","5/17/2015","N","600 Minnesota Ave. W","WALKER BAN CO.","7","0","0","4","1","Cass","","","12/1/1902","1/1/1934","4/9/2015","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","www.fnbwalker.com","223726","3050","226776","0","226776","191573","191573","15628","84811","69169","15642","582","90552","0","","71","20381","0","14325","45","361","3609","10310","426","0","123","303","0","0","0","0","909","354","7890","7738","2868",""
"5270","11110","837354","1122534","The First National Bank of Waseca","Waseca","MN","56093","3/31/2015","5/17/2015","N","101 North State Street","FRANKSON INVESTMENT CORPORATION","3","0","0","4","1","Waseca","","","12/18/1902","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","fnbwaseca.com","97396","1415","98811","0","98811","87331","87331","3376","32093","19208","12885","9533","38558","3771","","1647","5236","","3138","0","202","891","2045","1458","0","1458","0","0","0","0","","0","0","810","2566","1415",""
"4792","52435","209559","1055584","The First National Bank of Washington","Washington","KS","66968","3/31/2015","5/17/2015","N","101 C Street","WASHINGTON 1ST BANCO, INC.","1","0","0","2","0","Washington","","","1/1/1883","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","http://www.fnbwashington.com","28379","965","29344","0","29344","25690","25690","0","2538","2222","316","0","9282","13870","","1489","671","","1441","0","50","593","798","53","0","0","2","51","0","0","","0","0","0","0","589",""
"6725","0","263627","3015612","The First National Bank of Waverly","Waverly","OH","45690","3/31/2015","5/17/2015","N","107 North Market","CENTRAL OHIO BANCORP","6","0","0","8","0","Pike","","","1/1/1901","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","www.thefirstnational.com","76684","553","77237","0","77237","61180","61180","3815","28674","25730","2944","1164","25562","1965","","1","5954","","2092","0","42","876","1174","8010","0","1314","6696","0","0","0","","663","624","1079","2736","553",""
"2160","11878","31134","1137752","The First National Bank of Waynesboro","Waynesboro","GA","30830","3/31/2015","5/17/2015","N","626 Liberty Street","FIRST BURKE BANKING COMPANY","3","0","0","8","0","Burke","12260","Augusta-Richmond County, GA-SC","1/1/1905","1/1/1934","5/28/2010","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Savannah","Atlanta","Southern","Southeast","www.fnbwaynesboro.com","64226","909","65135","0","65135","43250","43250","1913","10269","9994","275","426","26074","4568","","3553","8041","","10023","203","4","4134","5682","268","0","0","268","0","0","0","","0","0","0","1913","786",""
"6805","0","917630","0","The First National Bank of Williamson","Williamson","WV","25661","3/31/2015","5/17/2015","N","68 E. 2nd Avenue","","3","0","1","8","1","Mingo","","","6/11/1903","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","www.yourfnbonline.com","49958","560","50518","0","50518","38254","38254","17","7056","4634","2422","1202","28865","1114","","0","4896","","5844","0","0","1779","4065","1524","0","1436","88","0","0","0","","7","7","1","16","534",""
"5590","12096","501767","1102170","The First National Bank of Winnsboro","Winnsboro","TX","75494","3/31/2015","5/17/2015","N","315 North Main Street","ETEX BANCO, INC.","3","0","0","4","0","Wood","","","1/1/1893","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","www.fnbwinnsboro.com","81062","1349","82411","146","82557","70917","70917","4830","40563","3599","36964","27","18556","6941","","3519","4310","","3615","0","383","1017","2215","196","0","196","0","0","0","0","","6678","6355","689","4141","1181",""
"5593","0","624563","0","The First National Bank of Woodsboro","Woodsboro","TX","78393","3/31/2015","5/17/2015","N","320 First Street","","2","0","0","7","1","Refugio","","","1/1/1912","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","","23241","256","23497","0","23497","12522","12522","902","1650","0","1650","74","9479","417","","622","6330","","4023","0","0","0","4023","0","0","0","0","0","0","0","","0","0","146","756","256",""
"3897","12242","988845","1132159","The First National Bank of Wynne","Wynne","AR","72396","3/31/2015","5/17/2015","N","528 East Merriman Avenue","FIRST NATIONAL CORPORATION OF WYNNE","6","0","0","2","0","Cross","","","12/3/1915","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Western","www.fnbwynne.com","141100","2494","143594","0","143594","94012","94012","4160","37052","14521","22531","5425","18890","28485","","24819","18861","","4619","0","20","1028","3571","1283","0","0","1283","0","0","761","","821","225","3035","1125","2494",""
"4752","0","460350","1063776","The First Security Bank","Overbrook","KS","66524","3/31/2015","5/17/2015","NM","312 Maple Street","OVERBROOK BANKSHARES, INC.","3","0","0","4","1","Osage","45820","Topeka, KS","4/1/1904","1/1/1934","3/2/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","http://www.firstsecurityks.com","33382","417","33799","0","33799","22510","22510","1421","10752","5196","5556","49","7686","2602","","3127","5481","","787","0","0","285","502","1894","0","0","1689","205","0","0","","0","0","1085","336","417",""
"4041","0","49951","0","The First Security Bank","Beaver","OK","73932","3/31/2015","5/17/2015","NM","15 South Douglas Avenue","","1","0","0","2","1","Beaver","","","1/16/1916","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","www.fsbbeaver.com","72083","591","72674","0","72674","46947","46947","2000","8159","1085","7074","1403","13540","21845","","11044","10769","","3111","0","0","1582","1529","803","0","0","803","0","0","9927","","0","0","0","2000","591",""
"399","0","514356","0","The First State Bank","Ryan","OK","73565","3/31/2015","5/17/2015","NM","6th And Washington","","2","0","0","2","0","Jefferson","","","6/1/1894","1/1/1934","11/15/2012","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","www.fsbwford.com","15331","236","15567","2","15569","11119","11119","0","1675","1675","0","0","4643","4801","","1525","1134","","1611","0","0","648","963","180","0","180","0","0","0","0","","0","0","0","0","203",""
"12315","10301","801654","1898008","The First State Bank","Columbus","TX","78934","3/31/2015","5/17/2015","NM","420 Walnut Street","COLUMBUS BANCORP, INC.","1","0","0","2","1","Colorado","","","3/1/1913","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","www.fsbcolumbus.com","21092","158","21250","0","21250","13328","13328","194","6062","1466","4596","0","3135","3937","","1590","1787","","4428","0","0","1494","2934","117","0","0","117","0","0","0","","0","0","0","194","158",""
"17884","0","997052","3832912","The First State Bank","Oklahoma City","OK","73112","3/31/2015","5/17/2015","NM","3030 Nw Expressway Suite 1","FSB INVESTMENTS, LLC","3","0","0","4","0","Oklahoma","36420","Oklahoma City, OK","8/12/1902","7/2/1958","1/19/2012","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","www.thefirstsb.com","175772","1859","177631","0","177631","105967","105967","15641","62453","26663","35790","357","22535","4981","","1757","64160","","1380","0","0","139","1241","4367","0","780","3587","0","0","0","","0","0","4120","11521","1859",""
"5835","13277","394259","1056992","The First State Bank","Norton","KS","67654","3/31/2015","5/17/2015","NM","105 West Main Street","NORTON BANKSHARES, INC.","5","0","1","2","1","Norton","","","4/21/1902","1/1/1934","1/1/2015","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","www.firstatebank.com","202166","2912","205078","0","205078","72699","72699","59","9102","6166","2936","0","12070","51468","","78360","41880","0","8365","0","0","5390","2975","3774","0","0","100","3674","0","0","0","112","112","0","59","2912",""
"10503","0","275657","1059591","The First State Bank","Ness City","KS","67560","3/31/2015","5/17/2015","SM","206 N. Pennsylvania Ave.","BEUTLER, INC.","1","0","0","2","1","Ness","","","1/1/1916","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","http://www.fsbnesscity.com","22454","972","23426","0","23426","7661","7661","0","1571","1564","7","0","279","5811","","9917","3426","","1689","0","0","475","1214","733","0","0","14","719","0","0","","0","0","0","0","537",""
